Hoard,Mintlist
igch2188,corinth#alyzia#anactorium#argos_amphilochicum#corcyra#dyrrhachii#leucas#locri_epizephyrii#syracuse#thyrrheium
igch2190,syracuse
igch2191,siculo_punic#athens
igch2192,carthage
igch2193,carthage
igch2195,messana#syracuse
igch2197,gela#syracuse#carthage
igch2198,corinth#anactorium#argos_amphilochicum#coronta#leucas#mesma#thyrrheium
igch2199,gela#syracuse
igch2200,syracuse
igch2201,syracuse
igch2202,syracuse
igch2203,agrigentum#syracuse
igch2206,carthage
igch2207,carthage
igch2208,carthage
igch2209,carthage
igch2211,carthage
igch2212,carthage
igch2213,libya
igch2221,syracuse
igch2229,cales#neaplois_campania#arpi#paestum#agrigentum#mamertini#mytistratus#syracuse#tauromenium#punic
igch2231,rome
igch2232,agrigentum#syracuse#siceliotae#punic#cyzicus#aetolian_league#rome
igch2233,syracuse
igch2234,syracuse
igch2235,rhegium#mamertini#syracuse#rome
igch2236,syracuse#rome
igch2237,rhegium#mamertini#syracuse#rome
igch2238,rhegium#mamertini#syracuse#rome
igch2239,rhegium#menaenum#mamertini#syracuse#tauromenium#carthage#hispanorum#rome
igch2240,syracuse#rome
igch2241,syracuse#rome
igch2242,rhegium#mamertini#syracuse#carthage#rome
igch2243,mamertini#rome
igch2244,rhegium#mamertini#rome
igch2245,carthage
igch2246,aluntium#mamertini#syracuse#rome
igch2247,siculo_punic#carthage
igch2249,rhegium#centuripae#mamertini#rome
igch2250,rhegium#centuripae#mamertini#syracuse#tauromenium#rome
igch2251,panormus#rome
igch2252,rhegium#catana#enna#syracuse
igch2253,panormus#syracuse#rome
igch2254,catana
igch2255,syracuse
igch2256,carthage
igch2258,agrigentum#gela#messana#naxus#syracuse
