hoard,label,date1,date2,mintlist,lon,lat
igch2131,IGCH 2131,-340,,rhegium#agrigentum#camarina#leontini#messana#syracuse#athens#corinth#ambracia#anactorium#leucas#syracuse,14.740162,37.625462
igch2132,IGCH 2132,-340,-330,catana#leontini#messana#syracuse#siculo_punic#corinth#ambracia#anactorium#leucas,14.05305556,37.49055556
igch2133,IGCH 2133,-340,-330,agrigentum#gela#messana#syracuse#siculo_punic#athens#corinth#ambracia#anactorium#apollonia_illyria#argos_amphilochicum#dyrrhachii#leucas#syracuse,14.3975,37.63833333
igch2134,IGCH 2134,-330,,syracuse,15.285,37.06638889
igch2135,IGCH 2135,-350,-325,camarina#syracuse#siculo_punic#siculo_punic#corinth#ambracia#anactorium#dyrrhachii#leucas#locri_epizephyrii#syracuse,15.18194444,37.20388889
igch2136,IGCH 2136,-350,-325,rhegium#camarina#messana#selinus_sicily#syracuse#athens,14.3975,37.63833333
igch2137,IGCH 2137,-350,-325,siculo_punic,12.53083333,38.02361111
igch2140,IGCH 2140,-350,-300,syracuse,15.20055556,36.97861111
igch2141,IGCH 2141,-325,,syracuse,,
igch2142,IGCH 2142,-325,,carthage,12.82611111,37.58833333
igch2143,IGCH 2143,-320,,carthage,14.23777778,37.07444444
igch2145,IGCH 2145,-320,-310,syracuse#corinth#alyzia#ambracia#anactorium#dyrrhachii#leucas#syracuse#argos_amphilochicum#thyrrheium,14.715,37.845
igch2150,IGCH 2150,-300,,syracuse#corinth#leucas,15.06555556,37.03166667
igch2151,IGCH 2151,-300,,camarina#messana#syracuse#siculo_punic#athens#corinth#alyzia#ambracia#anactorium#argos_amphilochicum#corcyra#dyrrhachii#leontini#leucas#locri_epizephyrii#syracuse#thyrrheium,15.09083333,36.715
igch2152,IGCH 2152,-300,-220,corinth#ambracia#anactorium#leucas#thyrrheium#rome,12.82611111,37.58833333
igch2153,IGCH 2153,-300,,siculo_punic#carthage#corinth#ambracia#anactorium#argos_amphilochicum#dyrrhachii#leucas#locri_epizephyrii,13.766012,37.194141
igch2154,IGCH 2154,-300,,syracuse#siculo_punic#amphipolis,14.02611111,38.03333333
igch2155,IGCH 2155,-300,,syracuse,15.09083333,36.715
igch2156,IGCH 2156,-300,,syracuse#siculo_punic,14.47888889,37.43111111
igch2157,IGCH 2157,-300,,carthage,13.65555556,37.99083333
igch2159,IGCH 2159,-300,,thasos,14.85111111,37.12611111
igch2161,IGCH 2161,-300,,catana,15.259874,37.831694
igch2162,IGCH 2162,-330,-300,agrigentum#himera#syracuse,14.05305556,37.49055556
igch2164,IGCH 2164,-330,-300,gela#syracuse,14.23777778,37.07444444
igch2167,IGCH 2167,-400,-300,syracuse#corinth,14.8925,37.05805556
igch2168,IGCH 2168,-400,-300,corinth,14.835992,37.662984
igch2169,IGCH 2169,-330,-270,corinth#anactorium#argos_amphilochicum#leucas#syracuse#terina,15.13666667,36.90805556
igch2170,IGCH 2170,-330,-270,syracuse,15.27611111,37.07555556
igch2172,IGCH 2172,-330,-270,carthage,12.82611111,37.58833333
igch2173,IGCH 2173,-400,-270,siculo_punic,14.63861111,37.21361111
igch2174,IGCH 2174,-400,-200,siculo_punic,15.1525,37.60027778
igch2176,IGCH 2176,-300,-270,syracuse#carthage,14.71888889,36.92
igch2177,IGCH 2177,-300,-270,syracuse,14.23777778,37.07444444
igch2178,IGCH 2178,-300,-270,syracuse#siculo_punic,12.82611111,37.58833333
igch2179,IGCH 2179,-300,-270,syracuse#siculo_punic#corinth#anactorium#argos_amphilochicum#leucas#syracuse#thyrrheium,15.27611111,37.07555556
igch2180,IGCH 2180,-300,-270,syracuse#siculo_punic#athens#corinth#alyzia#ambracia#anactorium#argos_amphilochicum#corona#dyrrhachii#leontini#leucas#locri_epizephyrii#mesma#metropolis_acarnania#syracuse#thyrrheium,15.18194444,37.20388889
igch2181,IGCH 2181,-300,-270,syracuse#siculo_punic#corinth#alyzia#ambracia#anactorium#argos_amphilochicum#dyrrhachii#leucas#locri_epizephyrii#syracuse#thyrrheium,14.8925,37.05805556
igch2182,IGCH 2182,-300,-270,selinus_sicily#syracuse#siculo_punic#anactorium#argos_amphilochicum,13.63246,37.631268
igch2183,IGCH 2183,-300,-270,messana#syracuse#siculo_punic#myriandrus#corinth#anactorium#argos_amphilochicum#leucas#metropolis_acarnania#syracuse#thyrrheium,14.21388889,37.07861111
igch2184,IGCH 2184,-289,,gela#syracuse#siculo_punic#athens#corinth,14.691753,37.267578
igch2185,IGCH 2185,-289,,camarina#syracuse#siculo_punic#carthago_nova#corinth#anactorium#argos_amphilochicum#coronta#hipponium#leucas#syracuse#thyrrheium#rhegium#messana#syracuse#siculo_punic#carthago_nova#athens#corinth#ambracia#anactorium#argos_amphilochicum#dyrrhachii#leucas#metropolis_acarnania#syracuse#thyrrheium#argos_amphilochicum#taras#heraclea_lucaniae#locri_epizephyrii#carthage#cappadocia#the_thracian_chersonese#bruttii#rome,14.44166667,36.87305556
igch2186,IGCH 2186,-300,-270,syracuse#carthage#siculo_punic#syracuse,15.09083333,36.715
igch2188,IGCH 2188,-300,-270,corinth#alyzia#anactorium#argos_amphilochicum#corcyra#dyrrhachii#leucas#locri_epizephyrii#syracuse#thyrrheium,15.555553,38.194293
igch2190,IGCH 2190,-300,-270,syracuse,14.23777778,37.07444444
igch2191,IGCH 2191,-300,-270,siculo_punic#athens,15.27861111,37.07388889
igch2192,IGCH 2192,-300,-270,carthage,15.07027778,37.50722222
igch2193,IGCH 2193,-300,-270,carthage,12.82611111,37.58833333
igch2195,IGCH 2195,-285,,messana#syracuse,14.23777778,37.07444444
igch2197,IGCH 2197,-282,,gela#syracuse#carthage,14.23777778,37.07444444
igch2198,IGCH 2198,-282,,corinth#anactorium#argos_amphilochicum#coronta#leucas#mesma#thyrrheium,14.23777778,37.07444444
igch2199,IGCH 2199,-282,,gela#syracuse,14.23777778,37.07444444
igch2200,IGCH 2200,-280,,syracuse,14.126265,37.10271
igch2201,IGCH 2201,-280,,syracuse,15.27861111,37.07388889
igch2202,IGCH 2202,-275,,syracuse,15.27861111,37.07388889
igch2203,IGCH 2203,-275,-270,agrigentum#syracuse,13.766012,37.193867
igch2206,IGCH 2206,-260,,carthage,15.01277778,37.27166667
igch2207,IGCH 2207,-260,,carthage,13.52416667,37.28916667
igch2208,IGCH 2208,-260,,carthage,13.34,38.14777778
igch2209,IGCH 2209,-250,,carthage,12.433333,37.8
igch2211,IGCH 2211,-250,,carthage,12.53083333,38.02361111
igch2212,IGCH 2212,-250,-240,carthage,12.82611111,37.58833333
igch2213,IGCH 2213,-240,-235,libya,12.82611111,37.58833333
igch2221,IGCH 2221,-250,-200,syracuse,14.94944444,36.82277778
igch2229,IGCH 2229,-250,-200,cales#neaplois_campania#arpi#paestum#agrigentum#mamertini#mytistratus#syracuse#tauromenium#punic,14.000645,37.814205
igch2231,IGCH 2231,-212,,rome,15.27861111,37.07388889
igch2232,IGCH 2232,-212,,agrigentum#syracuse#siceliotae#punic#cyzicus#aetolian_league#rome,14.280739,37.568147
igch2233,IGCH 2233,-212,,syracuse,15.27861111,37.07388889
igch2234,IGCH 2234,-212,,syracuse,15.27861111,37.07388889
igch2235,IGCH 2235,-211,-208,rhegium#mamertini#syracuse#rome,15.317674,38.002
igch2236,IGCH 2236,-200,,syracuse#rome,14.63861111,37.21361111
igch2237,IGCH 2237,-230,-200,rhegium#mamertini#syracuse#rome,15.098963,38.046915
igch2238,IGCH 2238,-230,-200,rhegium#mamertini#syracuse#rome,15.098963,38.046915
igch2239,IGCH 2239,-230,-200,rhegium#menaenum#mamertini#syracuse#tauromenium#carthage#hispanorum#rome,14.445248,37.4177
igch2240,IGCH 2240,-230,-200,syracuse#rome,14.445248,37.4177
igch2241,IGCH 2241,-230,-200,syracuse#rome,14.20638889,37.37944444
igch2242,IGCH 2242,-230,-200,rhegium#mamertini#syracuse#carthage#rome,14.376197,37.442652
igch2243,IGCH 2243,-230,-200,mamertini#rome,14.85222222,37.66694444
igch2244,IGCH 2244,-230,-200,rhegium#mamertini#rome,15.1525,37.60027778
igch2245,IGCH 2245,-230,-200,carthage,13.93861111,37.10722222
igch2246,IGCH 2246,-230,-200,aluntium#mamertini#syracuse#rome,14.699993,38.073582
igch2247,IGCH 2247,-230,-200,siculo_punic#carthage,12.82611111,37.58833333
igch2249,IGCH 2249,-175,,rhegium#centuripae#mamertini#rome,15.13666667,36.90805556
igch2250,IGCH 2250,-160,,rhegium#centuripae#mamertini#syracuse#tauromenium#rome,14.868507,37.646479
igch2251,IGCH 2251,-150,,panormus#rome,13.26194444,37.70416667
igch2252,IGCH 2252,-40,-30,rhegium#catana#enna#syracuse,15.18194444,37.20388889
igch2253,IGCH 2253,-30,-1,panormus#syracuse#rome,13.9175,37.2575
igch2254,IGCH 2254,-450,-1,catana,15.076404,37.515533
igch2255,IGCH 2255,-450,-1,syracuse,15.076404,37.515533
igch2256,IGCH 2256,-400,-200,carthage,14.833546,37.787077
igch2258,IGCH 2258,-500,-400,agrigentum#gela#messana#naxus#syracuse,13.69388889,37.9875
